Alb-Donau-Kreis;Ulm;Württemberg
Baden-Baden(Stadtkreis);Baden-Baden;Baden
Biberach;Biberach an der Riß;Württemberg
Böblingen;Böblingen;Württemberg
Bodenseekreis;Friedrichshafen;Border
Breisgau-Hochschwarzwald;Freiburg im Breisgau;Baden
Calw;Calw;Border
Emmendingen;Emmendingen;Baden
Enzkreis;Pforzheim;Border
Esslingen;Esslingen am Neckar;Württemberg
Freiburg im Breisgau(Stadtkreis);Freiburg im Breisgau;Baden
Freudenstadt;Freudenstadt;Border
Göppingen;Göppingen;Württemberg
Heidelberg(Stadtkreis);Heidelberg;Baden
Heidenheim;Heidenheim an der Brenz;Württemberg
Heilbronn;Heilbronn;Württemberg
Heilbronn(Stadtkreis);Heilbronn;Württemberg
Hohenlohekreis;Künzelsau;Württemberg
Karlsruhe;Karlsruhe;Baden
Karlsruhe(Stadtkreis);Karlsruhe;Baden
Konstanz;Konstanz;Baden
Lörrach;Lörrach;Baden
Ludwigsburg;Ludwigsburg;Württemberg
Main-Tauber-Kreis;Tauberbischofsheim;Border
Mannheim(Stadtkreis);Mannheim;Baden
Neckar-Odenwald-Kreis;Mosbach;Border
Ortenaukreis;Offenburg;Baden
Ostalbkreis;Aalen;Württemberg
Pforzheim(Stadtkreis);Pforzheim;Baden
Rastatt;Rastatt;Baden
Ravensburg;Ravensburg;Württemberg
Rems-Murr-Kreis;Waiblingen;Württemberg
Reutlingen;Reutlingen;Württemberg
Rhein-Neckar-Kreis;Heidelberg;Baden
Rottweil;Rottweil;Border
Schwäbisch Hall;Schwäbisch Hall;Württemberg
Schwarzwald-Baar-Kreis;Villingen-Schwenningen;Baden
Sigmaringen;Sigmaringen;Württemberg
Stuttgart (Landeshauptstadt);Stuttgart ;Württemberg
Tübingen;Tübingen;Württemberg
Tuttlingen;Tuttlingen;Württemberg
Ulm(Stadtkreis);Ulm;Württemberg
Waldshut;Waldshut-Tiengen;Baden
Zollernalbkreis;Balingen;Württemberg
